,APG,DBPM,Exp,FG2_pct,FG3_pct,GP,Height,MPG,OBPM,PPG,Player,Pos,RPG,Salary,Salary5,TPG,Team,USG,Year,pct_from_3
37,0.7,0.4,4,0.371,0.33899999999999997,60,6-10,8.0,0.2,2.2,Walter McCarty,PF,1.4,2670000,1337500,0.3,BOS,15.0,2001,0.444
38,0.1,,R,0.414,0.0,24,6-10,5.6,,1.5,Jerome Moiso,C,1.8,1461960,1760000,0.8,BOS,20.0,2001,0.033
39,2.6,2.6,1,0.494,0.33299999999999996,58,6-3,19.7,0.2,5.9,Milt Palacio,PG,1.8,316969,807546,1.4,BOS,15.4,2001,0.135
40,3.1,2.6,2,0.478,0.38299999999999995,82,6-7,38.0,3.7,25.3,Paul Pierce,SF,6.4,1608840,12584688,3.2,BOS,30.6,2001,0.254
41,0.8,2.6,4,0.47600000000000003,0.0,82,6-10,23.2,0.2,7.5,Vitaly Potapenko,C,6.0,4290000,6191250,1.3,BOS,16.6,2001,0.0
42,5.5,0.6,4,0.439,0.36700000000000005,81,6-8,41.9,3.2,23.4,Antoine Walker,PF,8.9,10130000,14625000,3.7,BOS,29.1,2001,0.35100000000000003
43,1.4,2.6,5,0.375,0.331,81,6-8,21.5,0.2,6.6,Eric Williams,SF,2.6,3890000,3580000,0.9,BOS,16.3,2001,0.31
44,2.8,0.2,10,0.33299999999999996,0.28600000000000003,31,6-5,28.8,,9.1,Kendall Gill,SG,4.2,7000000,912195,1.5,NJN,20.9,2001,0.043
45,1.8,1.7,7,0.445,0.348,73,6-5,28.4,0.2,9.4,Lucious Harris,SG,3.9,2160000,2500000,0.9,NJN,16.4,2001,0.212
46,1.8,1.7,R,0.45799999999999996,0.335,77,6-8,21.6,,8.2,Stephen Jackson,SF,2.7,316969,5100000,1.7,NJN,20.8,2001,0.271
47,7.6,0.9,4,0.48100000000000004,0.32799999999999996,67,6-2,38.2,7.0,23.9,Stephon Marbury,PG,3.1,10130000,14625000,2.9,NJN,29.7,2001,0.262
48,1.9,1.9,R,0.45,0.091,68,6-9,33.4,0.2,12.0,Kenyon Martin,PF,7.4,3536640,9454546,2.0,NJN,19.9,2001,0.013999999999999999
49,1.3,2.2,3,0.185,0.32799999999999996,19,6-4,8.5,,1.2,Kevin Ollie,PG,1.2,523500,2704350,0.5,NJN,12.5,2001,0.0
50,1.7,1.7,3,0.452,0.382,49,6-10,35.4,0.2,17.0,Keith Van Horn,SF,7.1,9000000,14487000,2.1,NJN,23.4,2001,0.24
51,1.1,0.9,6,0.45799999999999996,0.0,82,6-9,28.5,0.2,10.2,Aaron Williams,PF,7.2,2250000,3790257,1.6,NJN,17.8,2001,0.003
52,0.6,3.8,1,0.44,0.16699999999999998,40,6-11,16.0,1.3,4.5,Calvin Booth,C,4.4,423500,5900700,0.9,WAS,15.6,2001,0.0
53,2.9,2.0,1,0.46,0.27399999999999997,78,6-6,32.3,0.9,18.1,Richard Hamilton,SF,3.1,1973880,7812500,2.6,WAS,28.1,2001,0.11699999999999999
54,2.9,2.0,6,0.474,0.389,54,6-9,36.7,0.3,18.2,Juwan Howard,PF,7.0,16875000,5408700,3.1,WAS,24.9,2001,0.0
55,0.3,0.7,2,0.499,0.0,68,6-9,23.7,1.8,8.6,Jahidi White,C,7.7,3922000,6166466,2.0,WAS,18.9,2001,0.002
56,4.6,2.1,4,0.506,0.433,82,6-5,38.2,6.5,22.0,Ray Allen,SG,5.2,10130000,14625000,2.5,MIL,24.4,2001,0.35700000000000004
57,1.8,2.5,1,0.40700000000000003,0.267,37,6-2,7.8,7.5,2.1,Rafer Alston,PG,0.8,423500,3500000,0.5,MIL,17.2,2001,0.35700000000000004
58,7.6,2.1,7,0.49,0.306,76,6-3,35.6,2.9,18.2,Sam Cassell,PG,3.8,4000000,6250000,2.9,MIL,24.9,2001,0.087
59,0.9,1.6,3,0.48100000000000004,0.667,29,6-7,18.6,7.5,3.8,Darvin Ham,SF,4.2,1700000,932546,1.1,MIL,11.3,2001,0.038
